2024-06-09 09:11:47,9.0,16.6,38.1
timestamp,cpu_percent,uso_memoria_percent,uso_disco_percent
2024-06-09 09:11:48,58.3,17.3,38.1
timestamp,cpu_percent,uso_memoria_percent,uso_disco_percent
2024-06-09 09:11:49,59.6,17.4,38.1
timestamp,cpu_percent,uso_memoria_percent,uso_disco_percent
2024-06-09 09:11:50,48.7,18.0,38.1
timestamp,cpu_percent,uso_memoria_percent,uso_disco_percent
2024-06-09 09:11:53,72.9,20.1,38.1
timestamp,cpu_percent,uso_memoria_percent,uso_disco_percent
2024-06-09 09:11:55,100.0,21.2,38.1
timestamp,cpu_percent,uso_memoria_percent,uso_disco_percent
2024-06-09 09:11:58,100.0,21.3,38.2
timestamp,cpu_percent,uso_memoria_percent,uso_disco_percent
2024-06-09 09:12:00,100.0,21.8,38.2
timestamp,cpu_percent,uso_memoria_percent,uso_disco_percent
2024-06-09 09:12:02,100.0,22.0,38.2
timestamp,cpu_percent,uso_memoria_percent,uso_disco_percent
2024-06-09 09:12:03,100.0,22.2,38.2
timestamp,cpu_percent,uso_memoria_percent,uso_disco_percent
2024-06-09 09:12:04,100.0,22.3,38.2
timestamp,cpu_percent,uso_memoria_percent,uso_disco_percent
2024-06-09 09:12:05,100.0,22.3,38.2
timestamp,cpu_percent,uso_memoria_percent,uso_disco_percent
2024-06-09 09:12:06,100.0,22.4,38.2
timestamp,cpu_percent,uso_memoria_percent,uso_disco_percent
2024-06-09 09:12:08,100.0,22.7,38.2
timestamp,cpu_percent,uso_memoria_percent,uso_disco_percent
2024-06-09 09:12:10,100.0,22.8,38.2
timestamp,cpu_percent,uso_memoria_percent,uso_disco_percent
2024-06-09 09:12:11,100.0,22.9,38.2
timestamp,cpu_percent,uso_memoria_percent,uso_disco_percent
2024-06-09 09:12:12,100.0,23.0,38.2
timestamp,cpu_percent,uso_memoria_percent,uso_disco_percent
2024-06-09 09:12:13,100.0,23.1,38.2
timestamp,cpu_percent,uso_memoria_percent,uso_disco_percent
2024-06-09 09:12:15,100.0,23.4,38.2
timestamp,cpu_percent,uso_memoria_percent,uso_disco_percent
2024-06-09 09:12:16,100.0,23.4,38.2
