2024-06-09 08:56:39,7.5,16.3,38.1
timestamp,cpu_percent,uso_memoria_percent,uso_disco_percent
2024-06-09 08:56:41,22.7,16.6,38.1
timestamp,cpu_percent,uso_memoria_percent,uso_disco_percent
2024-06-09 08:56:42,37.9,16.9,38.1
timestamp,cpu_percent,uso_memoria_percent,uso_disco_percent
2024-06-09 08:56:43,34.0,17.2,38.1
timestamp,cpu_percent,uso_memoria_percent,uso_disco_percent
2024-06-09 08:56:44,81.4,17.8,38.1
timestamp,cpu_percent,uso_memoria_percent,uso_disco_percent
2024-06-09 08:56:45,72.7,18.0,38.1
timestamp,cpu_percent,uso_memoria_percent,uso_disco_percent
2024-06-09 08:56:46,87.3,18.2,38.1
timestamp,cpu_percent,uso_memoria_percent,uso_disco_percent
2024-06-09 08:56:47,76.1,18.3,38.1
timestamp,cpu_percent,uso_memoria_percent,uso_disco_percent
2024-06-09 08:56:48,69.9,18.3,38.1
timestamp,cpu_percent,uso_memoria_percent,uso_disco_percent
2024-06-09 08:56:49,62.8,18.4,38.1
timestamp,cpu_percent,uso_memoria_percent,uso_disco_percent
2024-06-09 08:56:50,64.9,18.4,38.1
timestamp,cpu_percent,uso_memoria_percent,uso_disco_percent
2024-06-09 08:56:51,60.5,18.5,38.1
timestamp,cpu_percent,uso_memoria_percent,uso_disco_percent
2024-06-09 08:56:52,69.8,18.6,38.1
timestamp,cpu_percent,uso_memoria_percent,uso_disco_percent
2024-06-09 08:56:53,67.4,18.7,38.1
timestamp,cpu_percent,uso_memoria_percent,uso_disco_percent
2024-06-09 08:56:54,73.7,18.7,38.1
timestamp,cpu_percent,uso_memoria_percent,uso_disco_percent
2024-06-09 08:56:56,70.5,18.8,38.1
timestamp,cpu_percent,uso_memoria_percent,uso_disco_percent
2024-06-09 08:56:57,72.1,18.8,38.1
timestamp,cpu_percent,uso_memoria_percent,uso_disco_percent
2024-06-09 08:56:58,74.5,18.9,38.1
timestamp,cpu_percent,uso_memoria_percent,uso_disco_percent
2024-06-09 08:56:59,74.2,18.9,38.1
timestamp,cpu_percent,uso_memoria_percent,uso_disco_percent
2024-06-09 08:57:00,68.8,19.0,38.1
timestamp,cpu_percent,uso_memoria_percent,uso_disco_percent
2024-06-09 08:57:01,66.4,19.1,38.1
timestamp,cpu_percent,uso_memoria_percent,uso_disco_percent
2024-06-09 08:57:02,67.8,19.1,38.1
timestamp,cpu_percent,uso_memoria_percent,uso_disco_percent
2024-06-09 08:57:03,59.7,19.2,38.1
timestamp,cpu_percent,uso_memoria_percent,uso_disco_percent
2024-06-09 08:57:04,73.7,19.2,38.1
timestamp,cpu_percent,uso_memoria_percent,uso_disco_percent
2024-06-09 08:57:05,60.2,19.3,38.1
timestamp,cpu_percent,uso_memoria_percent,uso_disco_percent
2024-06-09 08:57:06,58.7,19.3,38.1
timestamp,cpu_percent,uso_memoria_percent,uso_disco_percent
2024-06-09 08:57:07,63.1,19.4,38.1
timestamp,cpu_percent,uso_memoria_percent,uso_disco_percent
2024-06-09 08:57:08,61.5,19.4,38.1
timestamp,cpu_percent,uso_memoria_percent,uso_disco_percent
2024-06-09 08:57:09,56.0,19.5,38.1
timestamp,cpu_percent,uso_memoria_percent,uso_disco_percent
2024-06-09 08:57:10,66.8,19.5,38.1
timestamp,cpu_percent,uso_memoria_percent,uso_disco_percent
2024-06-09 08:57:11,64.0,19.5,38.1
timestamp,cpu_percent,uso_memoria_percent,uso_disco_percent
2024-06-09 08:57:12,60.5,19.6,38.1
timestamp,cpu_percent,uso_memoria_percent,uso_disco_percent
2024-06-09 08:57:13,66.8,19.7,38.1
timestamp,cpu_percent,uso_memoria_percent,uso_disco_percent
2024-06-09 08:57:14,64.7,19.7,38.1
timestamp,cpu_percent,uso_memoria_percent,uso_disco_percent
2024-06-09 08:57:15,72.8,19.8,38.1
timestamp,cpu_percent,uso_memoria_percent,uso_disco_percent
2024-06-09 08:57:16,73.5,19.8,38.1
timestamp,cpu_percent,uso_memoria_percent,uso_disco_percent
2024-06-09 08:57:17,73.8,19.9,38.1
timestamp,cpu_percent,uso_memoria_percent,uso_disco_percent
2024-06-09 08:57:18,64.2,19.9,38.1
timestamp,cpu_percent,uso_memoria_percent,uso_disco_percent
2024-06-09 08:57:19,61.0,20.0,38.1
timestamp,cpu_percent,uso_memoria_percent,uso_disco_percent
2024-06-09 08:57:21,67.1,20.0,38.1
timestamp,cpu_percent,uso_memoria_percent,uso_disco_percent
2024-06-09 08:57:22,75.1,20.1,38.1
timestamp,cpu_percent,uso_memoria_percent,uso_disco_percent
2024-06-09 08:57:23,58.6,20.1,38.1
timestamp,cpu_percent,uso_memoria_percent,uso_disco_percent
2024-06-09 08:57:24,62.1,20.2,38.1
timestamp,cpu_percent,uso_memoria_percent,uso_disco_percent
2024-06-09 08:57:25,61.5,20.2,38.1
timestamp,cpu_percent,uso_memoria_percent,uso_disco_percent
2024-06-09 08:57:26,59.2,20.3,38.1
timestamp,cpu_percent,uso_memoria_percent,uso_disco_percent
2024-06-09 08:57:27,72.7,20.3,38.1
timestamp,cpu_percent,uso_memoria_percent,uso_disco_percent
2024-06-09 08:57:28,64.8,20.4,38.1
timestamp,cpu_percent,uso_memoria_percent,uso_disco_percent
2024-06-09 08:57:29,59.8,20.4,38.1
timestamp,cpu_percent,uso_memoria_percent,uso_disco_percent
2024-06-09 08:57:30,65.2,20.5,38.1
timestamp,cpu_percent,uso_memoria_percent,uso_disco_percent
2024-06-09 08:57:31,61.3,20.5,38.1
timestamp,cpu_percent,uso_memoria_percent,uso_disco_percent
2024-06-09 08:57:32,63.0,20.6,38.1
timestamp,cpu_percent,uso_memoria_percent,uso_disco_percent
2024-06-09 08:57:33,62.1,20.7,38.1
timestamp,cpu_percent,uso_memoria_percent,uso_disco_percent
2024-06-09 08:57:34,59.2,20.7,38.1
timestamp,cpu_percent,uso_memoria_percent,uso_disco_percent
2024-06-09 08:57:35,60.8,20.8,38.1
timestamp,cpu_percent,uso_memoria_percent,uso_disco_percent
2024-06-09 08:57:36,59.5,20.8,38.1
timestamp,cpu_percent,uso_memoria_percent,uso_disco_percent
2024-06-09 08:57:37,72.0,20.9,38.1
timestamp,cpu_percent,uso_memoria_percent,uso_disco_percent
2024-06-09 08:57:38,68.6,20.9,38.1
timestamp,cpu_percent,uso_memoria_percent,uso_disco_percent
2024-06-09 08:57:39,65.1,21.0,38.1
timestamp,cpu_percent,uso_memoria_percent,uso_disco_percent
2024-06-09 08:57:40,66.8,21.0,38.1
timestamp,cpu_percent,uso_memoria_percent,uso_disco_percent
2024-06-09 08:57:41,62.2,21.1,38.1
timestamp,cpu_percent,uso_memoria_percent,uso_disco_percent
2024-06-09 08:57:42,69.1,21.2,38.1
timestamp,cpu_percent,uso_memoria_percent,uso_disco_percent
2024-06-09 08:57:44,68.1,21.3,38.1
timestamp,cpu_percent,uso_memoria_percent,uso_disco_percent
2024-06-09 08:57:45,93.4,21.7,38.1
timestamp,cpu_percent,uso_memoria_percent,uso_disco_percent
2024-06-09 08:57:46,85.7,21.5,38.1
timestamp,cpu_percent,uso_memoria_percent,uso_disco_percent
2024-06-09 08:57:47,80.8,21.6,38.1
timestamp,cpu_percent,uso_memoria_percent,uso_disco_percent
2024-06-09 08:57:48,73.4,21.6,38.1
timestamp,cpu_percent,uso_memoria_percent,uso_disco_percent
2024-06-09 08:57:49,67.7,21.6,38.1
timestamp,cpu_percent,uso_memoria_percent,uso_disco_percent
2024-06-09 08:57:50,69.3,21.7,38.1
timestamp,cpu_percent,uso_memoria_percent,uso_disco_percent
2024-06-09 08:57:51,72.4,21.7,38.1
timestamp,cpu_percent,uso_memoria_percent,uso_disco_percent
2024-06-09 08:57:52,75.2,21.7,38.1
timestamp,cpu_percent,uso_memoria_percent,uso_disco_percent
2024-06-09 08:57:53,68.9,21.7,38.1
timestamp,cpu_percent,uso_memoria_percent,uso_disco_percent
2024-06-09 08:57:54,62.1,21.8,38.1
timestamp,cpu_percent,uso_memoria_percent,uso_disco_percent
2024-06-09 08:57:55,64.0,21.8,38.1
timestamp,cpu_percent,uso_memoria_percent,uso_disco_percent
2024-06-09 08:57:56,69.1,21.8,38.1
timestamp,cpu_percent,uso_memoria_percent,uso_disco_percent
2024-06-09 08:57:57,65.4,21.7,38.1
timestamp,cpu_percent,uso_memoria_percent,uso_disco_percent
2024-06-09 08:57:58,62.3,21.7,38.1
timestamp,cpu_percent,uso_memoria_percent,uso_disco_percent
2024-06-09 08:57:59,70.5,21.7,38.1
timestamp,cpu_percent,uso_memoria_percent,uso_disco_percent
2024-06-09 08:58:00,64.9,21.7,38.1
