2024-06-09 06:23:53,32.5,20.5,38.0
timestamp,cpu_percent,uso_memoria_percent,uso_disco_percent
2024-06-09 06:23:54,66.4,20.4,38.0
timestamp,cpu_percent,uso_memoria_percent,uso_disco_percent
2024-06-09 06:23:56,100.0,21.8,38.0
timestamp,cpu_percent,uso_memoria_percent,uso_disco_percent
2024-06-09 06:23:57,72.0,22.1,38.0
timestamp,cpu_percent,uso_memoria_percent,uso_disco_percent
2024-06-09 06:23:58,33.4,22.1,38.0
timestamp,cpu_percent,uso_memoria_percent,uso_disco_percent
2024-06-09 06:23:59,38.1,22.3,38.0
timestamp,cpu_percent,uso_memoria_percent,uso_disco_percent
2024-06-09 06:24:00,14.8,22.3,38.0
timestamp,cpu_percent,uso_memoria_percent,uso_disco_percent
2024-06-09 06:24:01,14.5,22.3,38.0
timestamp,cpu_percent,uso_memoria_percent,uso_disco_percent
2024-06-09 06:24:02,26.7,22.4,38.0
timestamp,cpu_percent,uso_memoria_percent,uso_disco_percent
2024-06-09 06:24:03,43.0,22.5,38.0
timestamp,cpu_percent,uso_memoria_percent,uso_disco_percent
2024-06-09 06:24:04,34.9,22.4,38.0
timestamp,cpu_percent,uso_memoria_percent,uso_disco_percent
2024-06-09 06:24:06,16.2,22.4,38.0
timestamp,cpu_percent,uso_memoria_percent,uso_disco_percent
2024-06-09 06:24:07,16.7,22.4,38.0
timestamp,cpu_percent,uso_memoria_percent,uso_disco_percent
2024-06-09 06:24:08,14.2,22.3,38.0
timestamp,cpu_percent,uso_memoria_percent,uso_disco_percent
2024-06-09 06:24:09,15.0,22.3,38.0
timestamp,cpu_percent,uso_memoria_percent,uso_disco_percent
2024-06-09 06:24:10,34.7,22.3,38.0
timestamp,cpu_percent,uso_memoria_percent,uso_disco_percent
2024-06-09 06:24:11,30.5,22.3,38.0
timestamp,cpu_percent,uso_memoria_percent,uso_disco_percent
2024-06-09 06:24:12,14.1,22.4,38.0
timestamp,cpu_percent,uso_memoria_percent,uso_disco_percent
2024-06-09 06:24:13,9.6,22.4,38.0
timestamp,cpu_percent,uso_memoria_percent,uso_disco_percent
2024-06-09 06:24:14,14.9,22.4,38.0
timestamp,cpu_percent,uso_memoria_percent,uso_disco_percent
2024-06-09 06:24:15,14.3,22.4,38.0
timestamp,cpu_percent,uso_memoria_percent,uso_disco_percent
2024-06-09 06:24:16,16.2,22.4,38.0
timestamp,cpu_percent,uso_memoria_percent,uso_disco_percent
2024-06-09 06:24:17,20.7,22.4,38.0
timestamp,cpu_percent,uso_memoria_percent,uso_disco_percent
2024-06-09 06:24:18,18.6,22.4,38.0
timestamp,cpu_percent,uso_memoria_percent,uso_disco_percent
2024-06-09 06:24:19,15.5,22.4,38.0
timestamp,cpu_percent,uso_memoria_percent,uso_disco_percent
2024-06-09 06:24:20,15.3,22.4,38.0
timestamp,cpu_percent,uso_memoria_percent,uso_disco_percent
2024-06-09 06:24:21,17.8,22.3,38.0
timestamp,cpu_percent,uso_memoria_percent,uso_disco_percent
2024-06-09 06:24:22,15.5,22.4,38.0
timestamp,cpu_percent,uso_memoria_percent,uso_disco_percent
2024-06-09 06:24:23,12.7,22.4,38.0
timestamp,cpu_percent,uso_memoria_percent,uso_disco_percent
2024-06-09 06:24:24,11.6,22.4,38.0
timestamp,cpu_percent,uso_memoria_percent,uso_disco_percent
2024-06-09 06:24:25,17.0,22.3,38.0
timestamp,cpu_percent,uso_memoria_percent,uso_disco_percent
2024-06-09 06:24:26,17.5,22.3,38.0
timestamp,cpu_percent,uso_memoria_percent,uso_disco_percent
2024-06-09 06:24:27,17.3,22.3,38.0
timestamp,cpu_percent,uso_memoria_percent,uso_disco_percent
2024-06-09 06:24:28,19.1,22.2,38.0
timestamp,cpu_percent,uso_memoria_percent,uso_disco_percent
2024-06-09 06:24:29,18.2,22.2,38.0
timestamp,cpu_percent,uso_memoria_percent,uso_disco_percent
2024-06-09 06:24:30,14.2,22.2,38.0
timestamp,cpu_percent,uso_memoria_percent,uso_disco_percent
2024-06-09 06:24:32,18.1,22.2,38.0
timestamp,cpu_percent,uso_memoria_percent,uso_disco_percent
2024-06-09 06:24:33,16.6,22.2,38.0
timestamp,cpu_percent,uso_memoria_percent,uso_disco_percent
2024-06-09 06:24:34,22.9,22.2,38.0
timestamp,cpu_percent,uso_memoria_percent,uso_disco_percent
2024-06-09 06:24:35,15.3,22.2,38.0
timestamp,cpu_percent,uso_memoria_percent,uso_disco_percent
2024-06-09 06:24:36,13.8,22.2,38.0
timestamp,cpu_percent,uso_memoria_percent,uso_disco_percent
2024-06-09 06:24:37,16.1,22.2,38.0
timestamp,cpu_percent,uso_memoria_percent,uso_disco_percent
2024-06-09 06:24:38,13.0,22.2,38.0
timestamp,cpu_percent,uso_memoria_percent,uso_disco_percent
2024-06-09 06:24:39,47.3,20.6,38.0
timestamp,cpu_percent,uso_memoria_percent,uso_disco_percent
2024-06-09 06:24:40,12.7,20.1,38.0
timestamp,cpu_percent,uso_memoria_percent,uso_disco_percent
2024-06-09 06:24:41,11.3,20.1,38.0
timestamp,cpu_percent,uso_memoria_percent,uso_disco_percent
2024-06-09 06:24:42,12.6,20.1,38.0
timestamp,cpu_percent,uso_memoria_percent,uso_disco_percent
2024-06-09 06:24:43,8.0,20.1,38.0
timestamp,cpu_percent,uso_memoria_percent,uso_disco_percent
2024-06-09 06:24:44,2.6,20.1,38.0
timestamp,cpu_percent,uso_memoria_percent,uso_disco_percent
2024-06-09 06:24:45,51.2,21.1,38.0
timestamp,cpu_percent,uso_memoria_percent,uso_disco_percent
2024-06-09 06:24:46,13.6,21.0,38.0
timestamp,cpu_percent,uso_memoria_percent,uso_disco_percent
2024-06-09 06:24:48,82.6,22.4,38.0
timestamp,cpu_percent,uso_memoria_percent,uso_disco_percent
2024-06-09 06:24:49,35.5,21.5,38.0
timestamp,cpu_percent,uso_memoria_percent,uso_disco_percent
2024-06-09 06:24:50,32.7,20.7,38.0
